Source;Target;Type;Weight
bc1pl0wdznq3adr59f09t6x09gxpmlmy0mtkq49hr2zyyg5hac2e05ss0mztu2;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;546
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;1533896
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;1533896
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1pl0wdznq3adr59f09t6x09gxpmlmy0mtkq49hr2zyyg5hac2e05ss0mztu2;Directed;1533896
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;1533896
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;1533896
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;1533896
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;591827
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;591827
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1qwr4fuullrh0sg04vjrxfdnn8gxyag0ja9m798p;3HmnyM4F76nixZgS5jcV4Y5ycCAH8biLUs;Directed;9998299
bc1qwr4fuullrh0sg04vjrxfdnn8gxyag0ja9m798p;bc1qzkya4svzm8nlxzdrn4e9adgaz6md40t27xugp3;Directed;9998299
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;595130
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;595130
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;586322
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;586322
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;585221
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;585221
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;580817
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;580817
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;583019
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;583019
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1pje9cuec0qhe85g9z40tzx9h6ylhtysne0t94e3wktuq3u3pxqs6qxt52nx;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qz8kqlgr8y72472hc7va5g8wp0yc5yttm32glge;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;3LaKYQ1wLJ5GYYc8k1wAv39vgAiuJkneiX;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qrs05q3xmruvs4d08djdxpht3k5fl0kucrj6zm5;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qtua2af9etqn696xq4rvjwrmr6ysvnekrxysrd6;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qvfyqelye6unzadzylu89rfqacq9z2am8zvk32y;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qpk79jtwla45gzghxc0vc4vkrdz8cmq34xs4jrl;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qgp040jy5m8lzskech520ap7nhnp6u789dn8v7r;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qh2ylg9uh5my80ajg2judlyzt5y79x4j7ghtnq5;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1q34k64dlvpxegvpsthh02wt7pu8cgd0lqjchtlv;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qhxsg3d96tgs9vm6wx9d82yljmtpdervq26xwz8;Directed;11740509581
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qe9q9vyxayn7jaagej2h8xyrgrq5yn044g2m3w8kzyrh0ph0ac70su9smt9;Directed;11740509581
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1pje9cuec0qhe85g9z40tzx9h6ylhtysne0t94e3wktuq3u3pxqs6qxt52nx;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qz8kqlgr8y72472hc7va5g8wp0yc5yttm32glge;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;3LaKYQ1wLJ5GYYc8k1wAv39vgAiuJkneiX;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qrs05q3xmruvs4d08djdxpht3k5fl0kucrj6zm5;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qtua2af9etqn696xq4rvjwrmr6ysvnekrxysrd6;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qvfyqelye6unzadzylu89rfqacq9z2am8zvk32y;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qpk79jtwla45gzghxc0vc4vkrdz8cmq34xs4jrl;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qgp040jy5m8lzskech520ap7nhnp6u789dn8v7r;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qh2ylg9uh5my80ajg2judlyzt5y79x4j7ghtnq5;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1q34k64dlvpxegvpsthh02wt7pu8cgd0lqjchtlv;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qhxsg3d96tgs9vm6wx9d82yljmtpdervq26xwz8;Directed;11273591058
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qe9q9vyxayn7jaagej2h8xyrgrq5yn044g2m3w8kzyrh0ph0ac70su9smt9;Directed;11273591058
bc1qyjgf92z6t6z5trugfpdx57wv4k58twqmk6mk2p;bc1q054055ntwvd87r8x4peer6swzjapev306fjpl5;Directed;5746381
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;590726
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;590726
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;576413
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;576413
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;574211
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1q2t0ad9cqars69ge9v7v7td7rpg3p7etgqfe0zn;Directed;574211
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1p62ezv8hrx47mxa56q75dqmktuf2nwpqu5uxkf63xuwugj74a6s2sk0ek5n;Directed;574211
bc1pdmkq6fm4u5hekaqvma2hmmnh3zkuj7l523702xeftvcy2rgajdmsehnpe9;bc1pljemugj0x02zx0hj4mu59zt539f8ff8s738t5369q3sp7rg6wxhq9pugpw;Directed;546
bc1pdmkq6fm4u5hekaqvma2hmmnh3zkuj7l523702xeftvcy2rgajdmsehnpe9;3R1jQUq6ADVpacoHzrCNgQVd7AqMtLmEDg;Directed;546
3R1jQUq6ADVpacoHzrCNgQVd7AqMtLmEDg;bc1pljemugj0x02zx0hj4mu59zt539f8ff8s738t5369q3sp7rg6wxhq9pugpw;Directed;9489
3R1jQUq6ADVpacoHzrCNgQVd7AqMtLmEDg;3R1jQUq6ADVpacoHzrCNgQVd7AqMtLmEDg;Directed;9489
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;577514
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;577514
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;590726
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;590726
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;575312
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;575312
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;578615
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;578615
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;585221
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;585221
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;578615
