addr,value
bc1qj9qdqwfg2fdehews6tsw9xhr4qjtka5lrevq73,324250
bc1qj9qdqwfg2fdehews6tsw9xhr4qjtka5lrevq73,211424
bc1qj9qdqwfg2fdehews6tsw9xhr4qjtka5lrevq73,207746
bc1qj9qdqwfg2fdehews6tsw9xhr4qjtka5lrevq73,292925
18eXtYc9WPf9evFNCpRCdsxBRwyP3HwCTs,1582085
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,1588
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,1067
,0
bc1qyd3w52v5mt84478hz7fx6zlzealp5zrmrvg9c4,39891822
bc1qdkrmz50dz2z24h57zdjh2ex36qh3l3gchujwg6,20000000
bc1qtmjayy4egtakm6j3d03lynk335ajej5z5tad4p,19889002
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,1067
bc1pmc0e5uwms3wxygpm267kqeeqrgkdy2ap90chx73cpf6rlk632y6svsduxj,546
,0
bc1p76ahgy0vtthek0y3mky3yqmgjswsx39wfwdah0deu65uvxm6us0qn6mj0e,547
bc1quvdmmekaawalmrjmcq2serpt87cerpqaqesw2p,182759
bc1q7fdh3x5hfyl6ld63wppcxyh695v4se850xxuc4,179112
bc1qqq7hxarpd4cr57ezwq3r5gnnwf3j6v3sygkzymmsygazyarjv9hqylmqeg,330
bc1qwdnx2u3z9s38g6trdv3r5gjz2d9zytpzv9khgg36xscrqvps05qqxnvs6e,330
bc1p76ahgy0vtthek0y3mky3yqmgjswsx39wfwdah0deu65uvxm6us0qn6mj0e,547
bc1qlzhvagrvnl0euyjlnmfkstdq2g8lu76ydtallh,1133856
1CSimkhzRWZG26C31cYhuhWpj36Sp73Ex6,466150
bc1qtxhu7cr62qz3lhfjzf6kfgmf8jj9wl0883w3jv,666698
bc1ptgxvr0gqzcx0e7dwqe3jm5ck5wsd0y2ssf95mlg6475hnfacxs7q5kdg2e,1657312
bc1ptgxvr0gqzcx0e7dwqe3jm5ck5wsd0y2ssf95mlg6475hnfacxs7q5kdg2e,896088
372MRFHg5HyYhNHZ7stEfwR6bsTrbWkZk8,2000000
bc1ptgxvr0gqzcx0e7dwqe3jm5ck5wsd0y2ssf95mlg6475hnfacxs7q5kdg2e,551800
bc1qvc5akj7xzgumkm0zhmscuwer47pwxy78ftfuc5,465603
31jXf5EUn31Tqd2rdbpFDkSxxyhaE92hvs,464493
bc1qrpjt3vytpec6ut95c0my4fc98hfczz22sfmz67,7804564
bc1q9m70nv0swgk2q24ter2f5ey6sych4lzlvyvgkj,18000
bc1qsy4x3hpu2452mvy20fad8q2qnq8mgpwqma2q66,7785585
bc1q7m0ja6yh9jzxx6ak6eucxs4fs5tzm6z9egpcvh,17991
bc1qfyk3pq95l4egm5x7zjkzjtujhf836fllmlhcla,16891
bc1q4zwn4qyj3wl6f77s65k20054p2ngyshq80fxdr,34911585
bc1qdkxtdzrgs6nn82klwvnms8pzgfs8hfespksm77,34908994
bc1q05al7ha52u59cfl7pqg88ezacvvenm92ea6dg3,41603009
bc1qmy9x3er9j3gp2vx2gc2f5a4ae93j50m02hv22v,41599770
bc1quxer2gtzawls00c7pyt8stqmsrejnaxhc282rp,44000
bc1qkg3gy7hqpflezn6cx6k84h0xt3zwuv065cecct,43000
bc1qyvh4jnf2ktdal4e8qpcl4949nmy9jy0jq2l9xk,61587
bc1q5v8gmrrqjyr8ksrhr2dx0hsq56c0553vfw9fs0,60515
bc1q07f8w09zxcarlufdse7zrutg7kksxl7k0mx55t,431427
bc1q32humtje6t9kzk7lx6375q7e2vx0n4zzacqne6,430419
bc1quyap9nw84xt3n8ysr8v6jajzaz0l7fn2ghpwvc,48532
bc1qw3309yu0wp45q2r5utk7uk7q0cfclvxdu7r8ex,48433
bc1qadmv0plxp2e0y86ug0szzel88wt7z50gm5aenl,48424
bc1qta4fscvp0chs3t2cs8lmv8kzy3uhcg2552zwss,48389
bc1ql70xhp4kjnrva4598d2qztcu89lqvqg3lkm34h,48329
bc1q7e9tjtxrk83m8cja8j4e9r8yqzfga3ctznr8k7,238651
bc1q0xq3r7j65teadk00y0wja888mku5tmas39sl92,1773955
1FLTsozVYvTbNyHBviyuoNViTt6EH23BDP,1773178
bc1qcrmxvflznkl2qnmmyeatfh43yrzx4vralxkt8h,97993
bc1q0l54mtr83smtkxymrlua06q5shvq8403p6hdrd,97992
bc1qnnxc3fsg7yqu7d2j9d8en6xrsppszhfguy0d4x,97991
bc1q2way57f3pe7h553wsrxa07uhz20jn9vzj4rmrs,97988
bc1q39fhxhc59zp5l9rntwm6633ndgrs604s4lngpz,97988
bc1qpkzdgeg66vn4enqlt5zve02raaxpqz837p5cvw,97988
bc1qmqj2adwlw3z29h075h0pku6cx6tqmxj0803u74,97985
bc1qvt3d2fxpajv6c5n0g0ffntytx8u86wr0s2vae2,97985
bc1qw6xd70m5f2ld4yfzeglhr9ufnmjjt4uw05qgc2,87710
bc1q9sj2ngmyuel9t7uzlfegpsdafemrclgds3yhjw,857652
bc1qmj28djtr2dhgsazf7j6vnxtqwxfu8v6sltnmds,7758
bc1qqcmm5rx7ylygtfw7dktg4axt0mju7l9a5w7z4s,506845
1JGCbUv3eDnuJ3CxqrRn2jmwYzgDj95VzA,237714
bc1qqcmm5rx7ylygtfw7dktg4axt0mju7l9a5w7z4s,267691
bc1qss0as5k6hffl0dnp2ftpdmhcrevzux25c205vw,35842
bc1q2aappfxeg6xxwzuttsvhsrn337s865vzwuzusf,35752
bc1q75384rh8y6mwkaa0575dft3r85sv5u328ny6za,35672
bc1qxservrpsxed4aw4zz6qrv7mpyhv76xcjr9wpy2,35636
bc1q866nekqz6fp47lmq6yjnjvfzzhvmjapzfvcdfu,140058
bc1q83efqfgqk2wccca4trwuc83cd73sjw6xys6a7v,5395
bc1q3quepn4jsd620g7ldv8qjd42z9exkt38hknd8m,14020
bc1q6uwssrdscwjpwhzsp5mhgc6qnewl7w0us3dh3t,4495
bc1qjkntzm2pngutdsp9xnlj7jwd6yv6ajwdummtak,13039
36SGgCF5Bowq1LPyZnoopjSGSA1Mbj9rq1,10442
